show_id,title,tags
s1,Dick Johnson Is Dead,"Movie KirstenJohnson UnitedStates 2020 PG-13 Documentaries As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable. "
s2,Blood & Water,"TV Show AmaQamata KhosiNgema GailMabalane ThabangMolaba DillonWindvogel SouthAfrica 2021 TV-MA InternationalTVShows TVDramas TVMysteries After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth. "
s3,Ganglands,"TV Show JulienLeclercq SamiBouajila TracyGotoas SamuelJouy NabihaAkkari SofiaLesaffre 2021 TV-MA CrimeTVShows InternationalTVShows TVAction&Adventure To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war. "
s4,Jailbirds New Orleans,"TV Show 2021 TV-MA Docuseries RealityTV Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series. "
s5,Kota Factory,"TV Show MayurMore JitendraKumar RanjanRaj AlamKhan AhsaasChanna India 2021 TV-MA InternationalTVShows RomanticTVShows TVComedies In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life. "
s6,Midnight Mass,"TV Show MikeFlanagan KateSiegel ZachGilford HamishLinklater HenryThomas KristinLehman 2021 TV-MA TVDramas TVHorror TVMysteries The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe. "
s7,My Little Pony: A New Generation,"Movie RobertCullen JoséLuisUcha VanessaHudgens KimikoGlenn JamesMarsden SofiaCarson LizaKoshy 2021 PG Children&FamilyMovies Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it. "
s8,Sankofa,"Movie HaileGerima KofiGhanaba OyafunmikeOgunlano AlexandraDuah NickMedley Mutabaruka UnitedStates Ghana BurkinaFaso UnitedKingdom Germany 1993 TV-MA Dramas IndependentMovies InternationalMovies On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past. "
s9,The Great British Baking Show,"TV Show AndyDevonshire MelGiedroyc SuePerkins MaryBerry PaulHollywood UnitedKingdom 2021 TV-14 BritishTVShows RealityTV A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best. "
s10,The Starling,Movie TheodoreMelfi MelissaMcCarthy ChrisO'Dowd KevinKline TimothyOlyphant DaveedDiggs UnitedStates 2021 PG-13 Comedies Dramas A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward. 
